StreamID,GridID,Length_m,H,B,R,A,P,HIndex,Q,ORIG_FID,RiverID
3578,3578,164.298864706739010,0.000000000000000,9.317383693840110,-0.000297318252768,-0.002847518088393,9.577340314249433,0,0.000000000000000,1,3578
3578,3578,164.298864706739010,1.000000000000000,132.551847386311806,0.423238625301636,56.485058552310925,133.459129615249168,1,40.723244506711524,136,3578
3578,3578,164.298864706739010,2.000000000000000,316.011503528529317,0.914105159707491,290.893554627289916,318.227669473361800,2,350.415625768881739,271,3578
3578,3578,164.298864706739010,3.000000000000000,454.866505302148084,1.478902882173349,678.342976596252356,458.679866523338660,3,1126.145125932768906,406,3578
3578,3578,164.298864706739010,4.000000000000000,545.872472887082040,2.144193744399784,1181.986219264125566,551.249728412482796,4,2513.662819739614861,541,3578
3578,3578,164.298864706739010,5.000000000000000,606.676753725767639,2.869668045784377,1760.886667478761410,613.620334960189439,5,4547.832262734522374,676,3578
3578,3578,164.298864706739010,6.000000000000000,651.541255448377910,3.620475142356970,2390.012850067622367,660.137897953277275,6,7207.133076085363427,811,3578
3578,3578,164.298864706739010,7.000000000000000,694.809551996346158,4.345454483990541,3063.264585309659196,704.935374791127856,7,10432.616394417576885,946,3578
3578,3578,164.298864706739010,8.000000000000000,740.223445267437683,5.026589683346349,3780.922493756072981,752.184429591038679,8,14189.442210524801339,1081,3578
3578,3578,164.298864706739010,9.000000000000000,781.902960850878685,5.709153799727880,4541.865351112412100,795.540899831581783,9,18555.272720489003405,1216,3578
3578,3578,164.298864706739010,10.000000000000000,823.471113282600299,6.373449486076605,5344.751544971728435,838.596360832205050,10,23497.905093681747530,1351,3578
3578,3578,164.298864706739010,11.000000000000000,866.887894032860913,7.005402787711387,6189.384852608902293,883.515914811649054,11,28981.541857363165036,1486,3578
3578,3578,164.298864706739010,12.000000000000000,912.598755708537055,7.606683679171470,7079.214063863442789,930.657085590092606,12,35018.742046535160625,1621,3578
3578,3578,164.298864706739010,15.000000000000000,1047.585744012442092,9.379226261536708,10032.933933651935149,1069.697398685861572,13,57067.811685772649071,1756,3578
3578,3578,164.298864706739010,20.000000000000000,1195.075102149356553,12.854517728369883,15700.494954434376268,1221.398988760459588,14,110188.378935432134313,1891,3578
3578,3578,164.298864706739010,25.000000000000000,1280.490639517986438,16.728690195324670,21881.580205794754875,1308.027104949926752,15,183050.912999608204700,2026,3578
3578,3578,164.298864706739010,30.000000000000000,1389.047439813866959,20.156881322545917,28561.342205046345043,1416.952441601164310,16,270549.102211947261821,2161,3578
3578,3578,164.298864706739010,35.000000000000000,1458.203957031493019,24.017554816823061,35698.177508022818074,1486.336880681045841,17,380058.541133766528219,2296,3578
3578,3578,164.298864706739010,40.000000000000000,1504.293453423014398,28.129153250645736,43109.633879127519322,1532.560667397191992,18,509953.643548515741713,2431,3578
3578,3578,164.298864706739010,45.000000000000000,1513.722200268573715,32.860458257233454,50671.273187835089630,1542.013589438638064,19,664858.898300909553654,2566,3578
3578,3578,164.298864706739010,50.000000000000000,1513.722200268573715,37.768723043731228,58239.884189177791995,1542.013589438638064,20,838482.421693622833118,2701,3578
3578,3578,164.298864706739010,55.000000000000000,1513.722200268573715,42.676987830229010,65808.495190520508913,1542.013589438638064,21,1027849.963183767162263,2836,3578
3578,3578,164.298864706739010,60.000000000000000,1513.722200268573715,47.585252616726791,73377.106191863218555,1542.013589438638064,22,1232331.145777355879545,2971,3578
3578,3578,164.298864706739010,70.000000000000000,1513.722200268573715,57.401782189722354,88514.328194548652391,1542.013589438638064,23,1684544.237122852820903,3106,3578
3578,3578,164.298864706739010,80.000000000000000,1513.722200268573715,67.218311762715800,103651.550197230812046,1542.013589438638064,24,2191557.117755088023841,3241,3578
3579,3579,277.050653522720950,0.000000000000000,1097.305858917396563,-0.000010290423298,-0.011408926265933,1108.693581969225761,0,0.000000000000000,2,3579
3579,3579,277.050653522720950,1.000000000000000,1594.545484382980476,0.799588823337496,1287.045367839466280,1609.634014726869054,1,1418.045799236380617,137,3579
3579,3579,277.050653522720950,2.000000000000000,2156.087512316510129,1.461111790540055,3178.027689217617990,2175.074973587721615,2,5233.576365062161130,272,3579
3579,3579,277.050653522720950,3.000000000000000,2474.482366084016576,2.206125660933784,5509.665637442374646,2497.439622324281572,3,11941.640695105594205,407,3579
3579,3579,277.050653522720950,4.000000000000000,2645.613491145747503,3.021833476820553,8075.142337119878903,2672.265827704115054,4,21586.511492977002490,542,3579
3579,3579,277.050653522720950,5.000000000000000,2787.858066218283511,3.829436090033934,10792.021549136490648,2818.175129550434121,5,33784.016431233438198,677,3579
3579,3579,277.050653522720950,6.000000000000000,2922.437425084267488,4.616503905268570,13647.982013100941913,2956.345817778953005,6,48394.481163922748237,812,3579
3579,3579,277.050653522720950,7.000000000000000,3059.359055645763419,5.372953829097698,16638.903759250268195,3096.788896480152289,7,65280.785878186157788,947,3579
3579,3579,277.050653522720950,8.000000000000000,3219.271932060570180,6.065726669680192,19773.990470466014813,3259.954090794627518,8,84113.971057151575224,1082,3579
3579,3579,277.050653522720950,9.000000000000000,3373.364351367357813,6.751343356389860,23069.566332484893792,3417.033487217107449,9,105394.549763262533816,1217,3579
3579,3579,277.050653522720950,10.000000000000000,3540.894013558922325,7.394346376583387,26525.468283062913542,3587.263421560081497,10,128760.161261561559513,1352,3579
3579,3579,277.050653522720950,11.000000000000000,3727.654959145213979,7.982074795044945,30152.670135354277591,3777.547932032938661,11,154023.940643735812046,1487,3579
3579,3579,277.050653522720950,12.000000000000000,3940.405434465725193,8.511794796397266,33991.123671440254839,3993.414371999130253,12,181230.606358807242941,1622,3579
3579,3579,277.050653522720950,15.000000000000000,4556.026641414235201,10.105808654299089,46658.284186725635664,4616.976808370188337,13,278929.685060948890168,1757,3579
3579,3579,277.050653522720950,20.000000000000000,6177.296917511041102,11.869753405490787,74285.556576820890768,6258.390889776816948,14,494368.477720115100965,1892,3579
3579,3579,277.050653522720950,25.000000000000000,7408.865136117586189,14.325885877533066,107606.664277414791286,7511.344512814504014,15,811780.756650256109424,2027,3579
3579,3579,277.050653522720950,30.000000000000000,8332.407015698974647,17.350665786188440,146855.158954004204134,8463.949497021869320,16,1258785.975805172696710,2162,3579
3579,3579,277.050653522720950,35.000000000000000,9435.951594527159614,19.948984728212352,191361.650419227196835,9592.550850399858973,17,1800199.755421032896265,2297,3579
3579,3579,277.050653522720950,40.000000000000000,10121.598800192045019,23.338689661779178,240461.145188843947835,10303.112500040539089,18,2511584.624462838284671,2432,3579
3579,3579,277.050653522720950,45.000000000000000,10795.697549734135464,26.604711468009352,292663.458462174981833,11000.437227597303718,19,3335744.621733286418021,2567,3579
3579,3579,277.050653522720950,50.000000000000000,11582.537937071274428,29.515280113576210,348572.017368333938066,11809.883424009940427,20,4257706.474173822440207,2702,3579
3579,3579,277.050653522720950,55.000000000000000,12279.165642000456501,32.597820065358952,408365.253510150010698,12527.379214050928567,21,5329581.153139744885266,2837,3579
3579,3579,277.050653522720950,60.000000000000000,12760.572919689613627,36.173994646111062,471072.212465893418994,13022.399573903201599,22,6589772.051427604630589,2972,3579
3579,3579,277.050653522720950,70.000000000000000,13208.092104821715111,44.611060648726827,601226.789180625462905,13477.079012193002200,23,9672051.817259477451444,3107,3579
3579,3579,277.050653522720950,80.000000000000000,13214.493727087266961,54.390098449751385,733369.014112556818873,13483.502236902257209,24,13464421.900670422241092,3242,3579
3580,3580,528.573164655183177,0.000000000000000,14.503906403587488,-0.000420481929054,-0.006123354012351,14.562704338154099,0,0.000000000000000,3,3580
